3-4-0-1-0,,,,,,
,2363,28.3298,5-8-0-0-0,NH4 * 1;Na * 2,994.8381,3
,2363,28.3298,4-5-1-2-0,Na * 1;H * 2,994.8381,3
,2363,28.3298,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5114,3
,2363,28.3298,4-5-1-2-0,H * 3,987.5114,3
,2380,28.42479,5-8-0-0-0,NH4 * 1;Na * 1,1480.763,2
,2380,28.42479,4-5-1-2-0,H * 2,1480.763,2
,2380,28.42479,5-8-0-0-0,NH4 * 1;Na * 2,994.8381,3
,2380,28.42479,4-5-1-2-0,Na * 1;H * 2,994.8381,3
,2380,28.42479,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5113,3
,2380,28.42479,4-5-1-2-0,H * 3,987.5113,3
,2397,28.52196,5-8-0-0-0,NH4 * 1;Na * 1,1480.763,2
,2397,28.52196,4-5-1-2-0,H * 2,1480.763,2
,2397,28.52196,5-8-0-0-0,NH4 * 1;Na * 2,994.8376,3
,2397,28.52196,4-5-1-2-0,Na * 1;H * 2,994.8376,3
,2397,28.52196,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5113,3
,2397,28.52196,4-5-1-2-0,H * 3,987.5113,3
,2414,28.61946,5-8-0-0-0,NH4 * 1;Na * 1,1480.763,2
,2414,28.61946,4-5-1-2-0,H * 2,1480.763,2
,2414,28.61946,5-8-0-0-0,NH4 * 1;Na * 2,994.8378,3
,2414,28.61946,4-5-1-2-0,Na * 1;H * 2,994.8378,3
,2414,28.61946,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.511,3
,2414,28.61946,4-5-1-2-0,H * 3,987.511,3
,2431,28.71113,5-8-0-0-0,NH4 * 1;Na * 1,1480.761,2
,2431,28.71113,4-5-1-2-0,H * 2,1480.761,2
,2431,28.71113,5-8-0-0-0,NH4 * 1;Na * 2,994.8373,3
,2431,28.71113,4-5-1-2-0,Na * 1;H * 2,994.8373,3
,2431,28.71113,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5105,3
,2431,28.71113,4-5-1-2-0,H * 3,987.5105,3
,2448,28.8043,5-8-0-0-0,NH4 * 1;Na * 1,1480.762,2
,2448,28.8043,4-5-1-2-0,H * 2,1480.762,2
,2448,28.8043,5-8-0-0-0,NH4 * 1;Na * 2,994.8375,3
,2448,28.8043,4-5-1-2-0,Na * 1;H * 2,994.8375,3
,2448,28.8043,5-8-0-0-0,NH4 * 1;Na * 1;H * 1,987.5107,3
